,deg N,deg E,Launch Az,Launch El,Tip-Off,Thrust Pitch,Thrust Yaw,mdot,Ve,mass,drag,Wind,x,y,z,lat,long,height
0,-0.0019302570557740192,0.0007663341915845629,0.6233756772911194,0.3540321833951738,True,-0.0052144019549642505,0.004032490150502273,-0.018767957893798978,0.007687041017051253,0.021075054287959926,-0.015317299897721792,False,-2384893.3687223434,-4091773.613860089,4445548.626076155,43.375999100859076,-120.23580330010637,127537.13756763678
1,-0.002268036295790517,0.00040501041604277963,1.0404454675377373,0.1850025939563137,True,-0.012809998761405077,0.0024267984035436802,-0.026064221342503496,0.0035101582550916004,7.738521886252322,-0.0010981018482982359,True,-2418853.1149109486,-4089279.442800645,4409954.4431057265,43.05585690432659,-120.60477477209484,114128.02225578725
2,-0.0008437654898327634,0.00033641440851297025,1.024902269255824,0.035910424623402826,False,-0.013472138890993381,-0.020108494163671765,-0.009579881607889994,-0.021042993785448466,2.083932100177264,-0.01092539973720985,True,-2425532.2456658394,-4118211.8895662446,4383495.687423898,42.71411276974876,-120.49710839152635,116866.17042618674
3,-0.0016519044343197469,0.00030182051747343303,0.7495699134327989,0.7544720965329308,True,-0.03145753350882926,-0.02623043532861568,0.035109696604281905,-0.008928736637337375,0.3052269218706567,-0.006564487940088083,False,-2384044.555448244,-4092833.473267504,4435692.807651816,43.30975909479688,-120.2204764950092,121127.67546251783
4,-0.0003092682766046872,-0.00031188994412955864,0.7933211704017913,-0.003187819794952529,True,-0.0022140078905039874,-0.042212045593818526,-0.014068398295986178,-0.003994624374897564,1.7308735467371479,-0.00577472425698667,False,-2383316.627220199,-4083817.3054391993,4441247.962956658,43.394904809411884,-120.26784449479423,119010.88347455217
5,0.0004268324849098564,-0.00011572725624340219,1.0601099802857252,-0.1387507369463427,True,0.03660589788099336,-0.06414570542900702,0.03601838381381581,-0.012045723484979579,4.4804004552683425,-0.0031428604765061092,True,-2419521.285157323,-4085044.951611208,4411714.84229154,43.08718185318652,-120.63773118741005,112916.8842395374
6,7.425737438878944e-06,-0.0010025948352101808,0.6402841899001324,0.5883658101717301,False,-0.05651620868676904,0.006123761635199803,0.019764163056466843,-0.021288326686174558,2.2130703586276343,-0.005872737582667826,True,-2422288.610473509,-4121278.185039306,4376707.204654075,42.66400820067792,-120.44495914832832,112996.97730870795
7,0.0008878058570402408,-0.0010723917255934252,1.5443613885441985,0.5227445159138775,True,-0.05338753194740386,0.006902988566094271,0.06734416633641992,5.67589279797039e-05,1.2504673040047782,0.007877563231073291,False,-2383182.361346475,-4093974.3435222413,4439191.269132391,43.32889183184305,-120.20452003025187,123929.47288598488
8,-0.0007558653162280885,0.0017468056147629985,1.05964121171835,-0.5013218731176649,False,0.030927092150380857,-0.04091834888886022,0.01981215536125789,0.007534953106692176,1.529392437335805,0.0034352513286469285,False,-2388741.0642248024,-4112537.1561221075,4427934.915118243,43.14261930166616,-120.14988961005159,129945.53201492851
9,-0.00015705066398094084,0.0009588348752000623,1.1035541864366976,0.6202815436496331,True,0.042908331944355664,0.047412551082601236,-0.022219255420993848,-0.007720920606092236,3.8569712049088762,0.017061709333125726,False,-2378564.9241267946,-4087001.673179309,4436153.659124465,43.36000309283774,-120.19867161518017,115772.79324289747
10,0.00038518319553302504,-5.765263006331916e-05,1.0117816546273324,0.8577410054337566,True,-0.025057862637296296,-0.05137805100225898,-0.012200336661270053,0.0022657592374732602,0.10552623765104521,0.003279964655427005,False,-2387294.6802095617,-4095501.8297611866,4440685.422502177,43.31795730504175,-120.23818744540178,127420.67730614191
11,7.932507028203092e-05,1.542373037275821e-05,1.0294276160679428,0.672865310657654,False,-0.010545923938902864,0.03575090497169025,-0.014919892482876824,-0.011694360128569888,1.1641976678614845,0.007079326585122706,True,-2425586.7753834287,-4125337.9134035846,4380893.729399084,42.66024395550837,-120.45437311482826,119636.81015304162
12,0.00017423102575112647,0.0005332901688257076,0.5344934536935857,0.5367286173918148,False,-0.051350230779221226,0.03804989692003174,-0.008054927813300902,0.0016493100682290205,1.0129693206358295,-0.011924318678742702,True,-2428941.291140889,-4129500.3652458014,4384159.362877061,42.649807593379116,-120.46372479834773,125738.9402882815
13,-0.0015402452154433216,0.0012907137838314583,1.2367651726663196,0.3775195711629713,False,-0.010782240758581883,-0.03241737922294758,0.005035616809897232,-0.014571188063944149,1.01982227405418,-0.012522303998527096,True,-2427364.0347867827,-4122254.4778255434,4382455.062159889,42.68090554813837,-120.49144062083352,119403.77432328812
14,0.000618332073923335,-0.0019997412586196953,0.8579467301139904,-0.2361017255285881,True,-0.009605863287090937,-0.06647022441781805,-0.009352834292574688,-0.00247029398659616,0.14007859027259023,0.0018312438404227646,False,-2385526.647277588,-4083733.3018849725,4445310.17150997,43.41465061398112,-120.29148135254312,122559.10492867048
15,-0.0007001846694000238,0.00010565031540849365,1.218860977657385,-0.11500977685192776,False,-0.008140114845960262,-0.011363850426047971,-0.02017591913119543,-0.0025058420735756056,1.630895987030783,0.0031956711650106048,True,-2425556.5154699557,-4118097.216572327,4386200.068123665,42.73219110489452,-120.49805675829617,118637.43547245841
16,0.00034216304888321007,-0.0003152509884630822,1.3691401041925777,0.4357269575816693,False,-0.0002897255021411772,-0.012595234831820894,-0.016941420045064274,-0.0006074570896479655,4.1186315171128935,0.008863738789547394,False,-2387015.2558063846,-4120184.402854119,4417794.369767802,43.04263013562162,-120.08571632464626,127215.82167282252
17,0.0008145031407374507,0.00035932732098507153,0.7204212568585522,0.08567252038628304,True,0.007929693368626513,-0.06355997734887593,0.012846678024447777,-0.011365033837744582,0.6739025723613294,-0.0011748435078945583,False,-2384622.047972584,-4084772.9669156405,4441447.159248787,43.387180356130045,-120.27566706989174,120225.69838893283
18,0.0004379772259593859,0.0005837835606182795,0.07703085719259661,-0.0004164146785916589,True,-0.006923868714612391,0.002426849191997163,0.012860195585052839,0.01675566037299531,0.3059080311399158,-0.002923951389302975,False,-2386860.6161769056,-4089925.5549127003,4452516.262621287,43.424324534899135,-120.26762727564619,131884.7395447637
19,0.0008971469187786598,0.00021869777723569874,0.5368453991360553,0.521256551607864,False,-0.041611665014272776,0.04198229170707548,0.0022532705610626294,0.006663756490502302,4.261651804506359,0.015916715680399054,True,-2424098.420742841,-4124517.0632027853,4381095.102051094,42.67030724229667,-120.44399019678357,118698.31311172502
