# time (s),altitude (m),absolute velocity (m/s),acceleration (m/s^2),thrust (N),mass (kg),freestream velocity (m/s),angle of attack (rads),Mach,dynamic pressure (Pa),air pressure (Pa),air density (kg/m^3),air temperature (K)
2.749999999999999667e-01,3.284580309875309467e+00,5.423897930429645520e+00,1.976677953158401735e+01,8.095121939794771606e+03,2.730468651547295167e+02,5.332948260251196615e+00,3.264277828259623537e-01,1.573790069630177577e-02,1.509207975568192239e+01,8.699185737657787104e+04,1.060633873680802974e+00,2.857218515358929949e+02
2.999999999999999889e-01,3.426357109099626541e+00,5.918281674464416220e+00,1.977534975780129400e+01,8.095133999506771943e+03,2.729629654381302544e+02,5.803480665152474849e+00,2.990927355519527042e-01,1.712649431377760365e-02,1.787090053504185505e+01,8.699044982642565446e+04,1.060619165877628278e+00,2.857211905781975361e+02
3.250000000000000111e-01,3.580496175214648247e+00,6.412879221328862123e+00,1.978390187031956771e+01,8.095147158256307193e+03,2.728790657215309921e+02,6.277905145742734838e+00,2.758702734283793312e-01,1.852657890960118792e-02,2.091030694284188840e+01,8.698891400202843943e+04,1.060603117761017122e+00,2.857204693503850308e+02
3.500000000000000333e-01,3.747002851217985153e+00,6.907690408344163480e+00,1.979244747562768936e+01,8.095161416468680727e+03,2.727951660049317297e+02,6.755447072914368967e+00,2.559176564817564059e-01,1.993586897851251649e-02,2.421060969055759315e+01,8.698724985374727112e+04,1.060585728826020091e+00,2.857196878199725347e+02
3.750000000000000555e-01,3.925882474519312382e+00,7.402714985140425696e+00,1.980098306608271130e+01,8.095176774564742118e+03,2.727112662883324674e+02,7.235531934430426304e+00,2.386028793077437093e-01,2.135266957128363272e-02,2.777211775741358224e+01,8.698545733246240707e+04,1.060566998574269837e+00,2.857188459539486871e+02
4.000000000000000777e-01,4.117140375077724457e+00,7.897952619995090018e+00,1.980950538757761237e+01,8.095193232960283240e+03,2.726273665717332051e+02,7.717725323352006228e+00,2.234440634718933838e-01,2.277569919745056279e-02,3.159513697911686236e+01,8.698353638964467973e+04,1.060546926514722044e+00,2.857179437188074758e+02
4.250000000000000999e-01,4.320781876333057880e+00,8.393402920913002774e+00,1.981801202920878424e+01,8.095210792066386603e+03,2.725434668551339428e+02,8.201693164286945503e+00,2.100681463512970859e-01,2.420397245091554864e-02,3.567997030700039574e+01,8.698148697731482389e+04,1.060525512163234652e+00,2.857169810805270913e+02
4.500000000000001221e-01,4.536812289617955685e+00,8.889065450501563603e+00,1.982650117507857246e+01,8.095229452288968787e+03,2.724595671385346805e+02,8.687174530716376353e+00,1.981822401991338578e-01,2.563671979246862076e-02,4.002691721588691820e+01,8.697930904809577623e+04,1.060502755043113865e+00,2.857159580045943130e+02
4.750000000000001443e-01,4.765236913226544857e+00,9.384939736657196718e+00,1.983497143674715346e+01,8.095249214028706774e+03,2.723756674219354181e+02,9.173962871143769959e+00,1.875535440209569193e-01,2.707333214718773626e-02,4.463627438336416020e+01,8.697700255522278894e+04,1.060478654685220290e+00,2.857148744560082037e+02
5.000000000000001110e-01,5.006061037071049213e+00,9.881025280402662148e+00,1.984342173926867048e+01,8.095270077681006114e+03,2.722917677053361558e+02,9.661892595575341858e+00,1.779948185750813427e-01,2.851332132044973391e-02,4.950833523648992696e+01,8.697456745254610723e+04,1.060453210627998466e+00,2.857137303992801662e+02
5.250000000000001332e-01,5.259289933368563652e+00,1.037732156171764331e+01,1.985185124091936970e+01,8.095292043635886330e+03,2.722078679887368935e+02,1.015082944606065674e+01,1.693538796696514026e-01,2.995629158090129529e-02,5.464338995568956392e+01,8.697200369454470638e+04,1.060426422417621639e+00,2.857125257984393443e+02
5.500000000000001554e-01,5.524928865954279900e+00,1.087382804392866475e+01,1.986025927557318482e+01,8.095315112277995468e+03,2.721239682721376312e+02,1.064066346746282932e+01,1.615058605002037406e-01,3.140191891684428888e-02,6.004172574859465072e+01,8.696931123632400704e+04,1.060398289607964450e+00,2.857112606170320532e+02
5.750000000000001776e-01,5.802983082830905914e+00,1.137054417707536658e+01,1.986864531175468329e+01,8.095339283986479131e+03,2.720400685555383689e+02,1.113130371081003922e+01,1.543473644449595839e-01,3.284993540555277564e-02,6.570362625547461732e+01,8.696649003363226075e+04,1.060368811760779018e+00,2.857099348181268965e+02
6.000000000000001998e-01,6.093457817099988461e+00,1.186746940049823706e+01,1.987700892149732113e+01,8.095364559135102354e+03,2.719561688389391065e+02,1.162267435109321667e+01,1.477921010334209695e-01,3.430011775670319119e-02,7.162937228326391903e+01,8.696354004284541588e+04,1.060337988445536395e+00,2.857085483643075463e+02
6.250000000000002220e-01,6.396358289755880833e+00,1.236460314486152967e+01,1.988534975775214519e+01,8.095390938092062243e+03,2.718722691223398442e+02,1.211471162256786549e+01,1.417675074992328921e-01,3.575227826829175531e-02,7.781924117338989788e+01,8.696046122098936758e+04,1.060305819239656389e+00,2.857071012176828049e+02
6.500000000000002442e-01,6.711689706891775131e+00,1.286194483374218578e+01,1.989366753702631740e+01,8.095418421220005257e+03,2.717883694057405819e+02,1.260736153816144167e+01,1.362121423845512880e-01,3.720625809649633770e-02,8.427350727704470046e+01,8.695725352573722193e+04,1.060272303728482912e+00,2.857055933398837055e+02
6.750000000000002665e-01,7.039457260631024837e+00,1.335949388489728129e+01,1.990196202652536783e+01,8.095447008876089058e+03,2.717044696891413196e+02,1.310057805558627031e+01,1.310736345235648803e-01,3.866192184378389879e-02,9.099244163517995787e+01,8.695391691540421743e+04,1.060237441505227807e+00,2.857040246920612958e+02
7.000000000000002887e-01,7.379666124470531940e+00,1.385724971127627825e+01,1.991023303394416288e+01,8.095476701411796967e+03,2.716205699725420573e+02,1.359432165076396437e+01,1.263070808996258065e-01,4.011915334901605679e-02,9.797631188132021407e+01,8.695045134896645322e+04,1.060201232171169350e+00,2.857023952348935723e+02
7.250000000000003109e-01,7.732321463525295258e+00,1.435521172182028771e+01,1.991848039894911437e+01,8.095507499173006181e+03,2.715366702559427949e+02,1.408855822370259325e+01,1.218737895717329628e-01,4.157785245864534934e-02,1.052253827220398676e+02,8.694685678605493740e+04,1.060163675335588529e+00,2.857007049285827520e+02
7.500000000000003331e-01,8.097428424283862114e+00,1.485337932212660306e+01,1.992670398778727758e+01,8.095539402500172400e+03,2.714527705393435326e+02,1.458325815188591967e+01,1.177402200276760486e-01,4.303793223321899369e-02,1.127399153112488079e+02,8.694313318693336623e+04,1.060124770615537004e+00,2.856989537328438473e+02
7.750000000000003553e-01,8.474992138333618641e+00,1.535175191498228386e+01,1.993490368804916102e+01,8.095572411727986037e+03,2.713688708227442703e+02,1.507839560344692664e+01,1.138771641106770538e-01,4.449931692052763732e-02,1.205201678561548277e+02,8.693928051253834565e+04,1.060084517636257440e+00,2.856971416069229122e+02
8.000000000000003775e-01,8.865017723292112350e+00,1.585032890079782497e+01,1.994307940467226814e+01,8.095606527185515006e+03,2.712849711061450080e+02,1.557394791320624527e+01,1.102590775872978740e-01,4.596194011426432691e-02,1.285663951267324308e+02,8.693529872446249647e+04,1.060042916031006976e+00,2.856952685095881748e+02
8.250000000000003997e-01,9.267510280944406986e+00,1.634910967796116665e+01,1.995123105675410002e+01,8.095641749196119235e+03,2.712010713895457457e+02,1.606989511081833655e+01,1.068635256310465215e-01,4.742574336156607506e-02,1.368788486350285609e+02,8.693118778496501909e+04,1.059999965441168035e+00,2.856933343991343577e+02
8.500000000000004219e-01,9.682474900037050247e+00,1.684809364313420588e+01,1.995935857525311974e+01,8.095678078077743521e+03,2.711171716729464833e+02,1.656621952740653470e+01,1.036707176718508761e-01,4.889067500218102075e-02,1.454577767060228837e+02,8.692694765693701629e+04,1.059955665515882606e+00,2.856913392333660795e+02
