# time (s),altitude (m),absolute velocity (m/s),acceleration (m/s^2),thrust (N),mass (kg),freestream velocity (m/s),angle of attack (rads),Mach,dynamic pressure (Pa),air pressure (Pa),air density (kg/m^3),air temperature (K)
9.000000000000004663e-01,1.278557933866977692e+01,2.279305071126044524e+01,2.552551356603092358e+01,9.948296897705275114e+03,2.806636959810153371e+02,2.242053980080345355e+01,7.665222386809490696e-02,6.616981667921272015e-02,2.663448862198934535e+02,8.689552662416352541e+04,1.059627398460647685e+00,2.856765455600913128e+02
9.250000000000004885e-01,1.336338519304990768e+01,2.343146339802282085e+01,2.553650740901915484e+01,9.948375652638722386e+03,2.805626942801191603e+02,2.305724065909147669e+01,7.455217329717928054e-02,6.804924569390553846e-02,2.816696409120311841e+02,8.688961739865496929e+04,1.059565665166554371e+00,2.856737616624202474e+02
9.500000000000005107e-01,1.395715479087084532e+01,2.407015003117182061e+01,2.554746526101625292e+01,9.948456608626547677e+03,2.804616925792229836e+02,2.369431183778804595e+01,7.256472706619208901e-02,6.992979555610308318e-02,2.974309300437483330e+02,8.688354302124930837e+04,1.059502207383321348e+00,2.856708993948086572e+02
9.750000000000005329e-01,1.456689496897161007e+01,2.470910971035188908e+01,2.555838709869422232e+01,9.948539766217776560e+03,2.803606908783268068e+02,2.433174492292658542e+01,7.068111994332118564e-02,7.181144223256862025e-02,3.136291305987583087e+02,8.687730345075122023e+04,1.059437024749951606e+00,2.856679586910790363e+02
1.000000000000000444e+00,1.519261254463344812e+01,2.534834153464112561e+01,2.556927289939972425e+01,9.948625125947746710e+03,2.802596891774306300e+02,2.496953226240036372e+01,6.889347244140175963e-02,7.369416394000140313e-02,3.302646129620949864e+02,8.687089864699296595e+04,1.059370116918057159e+00,2.856649394842470429e+02
1.025000000000000355e+00,1.583431430626660585e+01,2.598784460255791373e+01,2.558012264074332265e+01,9.948712688337340296e+03,2.801586874765344533e+02,2.560766686561520444e+01,6.719468357692275073e-02,7.557794084891385211e-02,3.473377407393406315e+02,8.686432857089063327e+04,1.059301483552443024e+00,2.856618417065462268e+02
1.050000000000000266e+00,1.649200702738016844e+01,2.662761801206526258e+01,2.559093630051076573e+01,9.948802453893285929e+03,2.800576857756382765e+02,2.624614233333451452e+01,6.557833284979114330e-02,7.746275487661666292e-02,3.648488710026023796e+02,8.685759318442334188e+04,1.059231124330887841e+00,2.856586652894191616e+02
1.075000000000000178e+00,1.716569745261222124e+01,2.726766086056470328e+01,2.560171385624143525e+01,9.948894423108320552e+03,2.799566840747420997e+02,2.688495277686275031e+01,6.403860493056434677e-02,7.934858944873444953e-02,3.827983539584099617e+02,8.685069245061925903e+04,1.059159038943995546e+00,2.856554101635085203e+02
1.100000000000000089e+00,1.785539230797439814e+01,2.790797224488719053e+01,2.561245528511356895e+01,9.948988596461147608e+03,2.798556823738459229e+02,2.752409276979065567e+01,6.257021819872189694e-02,8.123542935681919708e-02,4.011865332411937288e+02,8.684362633356002334e+04,1.059085227095239334e+00,2.856520762586590649e+02
1.125000000000000000e+00,1.856109829526394606e+01,2.854855126128624931e+01,2.562316056402922015e+01,9.949084974415674878e+03,2.797546806729497462e+02,2.816355730661134160e+01,6.116836005089612560e-02,8.312326063623674821e-02,4.200137462096718650e+02,8.683639479843679874e+04,1.059009688501543645e+00,2.856486635039439079e+02
1.149999999999999911e+00,1.928282209392637014e+01,2.918939700541528381e+01,2.563382966898391047e+01,9.949183557422347803e+03,2.796536789720535694e+02,2.880334170787362424e+01,5.982864777131022965e-02,8.501207028626917017e-02,4.392803224595290885e+02,8.682899781145156885e+04,1.058932422892251202e+00,2.856451718276161955e+02
1.174999999999999822e+00,2.002057036105543375e+01,2.983050857231717501e+01,2.564446257555553288e+01,9.949284345916963503e+03,2.795526772711573926e+02,2.944344166087202908e+01,5.854706714301302628e-02,8.690184639023031121e-02,4.589865861704950589e+02,8.682143533990498690e+04,1.058853430010035401e+00,2.856416011571511149e+02
1.199999999999999734e+00,2.077434973046183586e+01,3.047188505639801193e+01,2.565505925827359590e+01,9.949387340321169177e+03,2.794516755702612159e+02,3.008385310749966024e+01,5.731994809743353597e-02,8.879257778449767269e-02,4.791328537537360717e+02,8.681370735215973400e+04,1.058772709610518170e+00,2.856379514192266811e+02
1.224999999999999645e+00,2.154418238159269094e+01,3.111476429515668940e+01,2.571516944061628962e+01,9.949492541762585461e+03,2.793506738693650391e+02,3.072534153324216888e+01,5.557030292733363547e-02,9.068652463860309154e-02,4.997445467209357162e+02,8.680581376360690047e+04,1.058690260897859892e+00,2.856342225142021221e+02
1.249999999999999556e+00,2.233008951414376497e+01,3.175783461517953299e+01,2.572281268532931975e+01,9.949599953443068443e+03,2.792496721684688623e+02,3.136799226671020335e+01,5.144769608349843842e-02,9.258393967781734790e-02,5.208263113696126538e+02,8.679775433400111797e+04,1.058606081452377667e+00,2.856304142675990647e+02
1.274999999999999467e+00,2.313207545783370733e+01,3.240106626964220737e+01,2.572926605603981898e+01,9.949709576229555751e+03,2.791486704675726855e+02,3.201112200901039273e+01,4.680919506945538378e-02,9.448280698136381217e-02,5.423572317758100780e+02,8.678952899829379749e+04,1.058520170686223949e+00,2.856265265863552827e+02
