# time (s),altitude (m),velocity (m/s),acceleration (m/s^2),thrust (N),mass (kg),Mach,air density (kg/m^3)
3.750000000000000000e+00,1.535509287744170706e+03,7.240679624784456792e+01,1.977994336562500877e+01,6.302786281458783378e+03,2.109908730227924423e+02,2.017112547999658501e-01,1.057800306547693303e+00
4.000000000000000000e+00,1.554230228763544801e+03,7.736596482967816257e+01,1.983667432733436797e+01,6.305502774000642603e+03,2.103347523114129558e+02,2.165409435417446626e-01,1.055965963122981854e+00
4.250000000000000000e+00,1.574192682788560205e+03,8.233877682255783270e+01,1.989124797151869473e+01,6.308420752113409435e+03,2.096786316000334978e+02,2.314224587987261661e-01,1.054004420700939804e+00
4.500000000000000000e+00,1.595400000158738976e+03,8.732475840505641429e+01,1.994392632999431214e+01,6.311539754260161317e+03,2.090225108886540397e+02,2.463548802600086518e-01,1.051915867337193999e+00
4.750000000000000000e+00,1.617855415624101170e+03,9.232345105871428359e+01,1.999477061463148075e+01,6.314859214594473087e+03,2.083663901772745533e+02,2.613374900689611757e-01,1.049700541301929801e+00
5.000000000000000000e+00,1.641562050309957385e+03,9.733440460115438952e+01,2.004381416976041308e+01,6.318378470095642115e+03,2.077102694658950668e+02,2.763696226517677323e-01,1.047358730731814624e+00
5.250000000000000000e+00,1.666522913918874110e+03,1.023571781295097196e+02,2.009109411342132390e+01,6.322096761282093212e+03,2.070541487545156087e+02,2.914506438068025229e-01,1.044890773437020526e+00
5.500000000000000000e+00,1.692740895077486130e+03,1.073911611561472341e+02,2.013593210655004739e+01,6.326013232703167887e+03,2.063980280431361507e+02,3.065799534641819313e-01,1.042297056655969945e+00
5.750000000000000000e+00,1.720218693800655274e+03,1.124354875471661330e+02,2.017730556407559916e+01,6.330126933538914273e+03,2.057419073317566642e+02,3.217564496896380688e-01,1.039578018011249716e+00
6.000000000000000000e+00,1.748958812328884733e+03,1.174895519818132499e+02,2.021625773858846387e+01,6.334436816321245715e+03,2.050857866203771778e+02,3.369782695588671162e-01,1.036734152407766674e+00
6.250000000000000000e+00,1.778963610334301393e+03,1.225527862874029381e+02,2.025293722235873162e+01,6.338941726277112139e+03,2.044296659089977197e+02,3.522443359757025383e-01,1.033766012786140776e+00
6.500000000000000000e+00,1.810235313296694130e+03,1.276246562343495583e+02,2.028747978778646655e+01,6.343640400466835672e+03,2.037735451976182617e+02,3.675536881106122866e-01,1.030674204197103094e+00
